Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
03-05-2024,Friday,May,Q2,2024,565.549988,580.26001,565.159973,579.340027,579.340027,3304812
02-05-2024,Thursday,May,Q2,2024,556.02002,565.460022,555.590027,565.150024,565.150024,3068200
01-05-2024,Wednesday,May,Q2,2024,547.840027,560.390015,544.25,551.710022,551.710022,3473200
30-04-2024,Tuesday,April,Q2,2024,560,560,549.380005,550.640015,550.640015,3361500
29-04-2024,Monday,April,Q2,2024,559.179993,559.640015,554.23999,559.48999,559.48999,2508900
26-04-2024,Friday,April,Q2,2024,558.210022,562.919983,553.190002,561.22998,561.22998,4332600
25-04-2024,Thursday,April,Q2,2024,549.460022,566.539978,545.710022,564.799988,564.799988,3807100
24-04-2024,Wednesday,April,Q2,2024,574.309998,576.909973,551.299988,555.119995,555.119995,5355300
23-04-2024,Tuesday,April,Q2,2024,556.48999,579.210022,555.280029,577.75,577.75,4975500
22-04-2024,Monday,April,Q2,2024,550.659973,558.609985,542.01001,554.599976,554.599976,8597700
19-04-2024,Friday,April,Q2,2024,567.880005,579,552.159973,555.039978,555.039978,16425000
18-04-2024,Thursday,April,Q2,2024,612.099976,621.330017,605.429993,610.559998,610.559998,8468400
17-04-2024,Wednesday,April,Q2,2024,620.969971,620.969971,607.710022,613.690002,613.690002,3312200
16-04-2024,Tuesday,April,Q2,2024,607.5,622.450012,607.5,617.52002,617.52002,3519100
15-04-2024,Monday,April,Q2,2024,630.169983,630.169983,603.869995,607.150024,607.150024,3085400
12-04-2024,Friday,April,Q2,2024,628.22998,633.119995,618.919983,622.830017,622.830017,2956500
11-04-2024,Thursday,April,Q2,2024,624.419983,631.659973,617.23999,628.780029,628.780029,2662700
10-04-2024,Wednesday,April,Q2,2024,610.969971,620.140015,609.340027,618.580017,618.580017,2806200
09-04-2024,Tuesday,April,Q2,2024,631.98999,631.98999,615.630005,618.200012,618.200012,2146600
08-04-2024,Monday,April,Q2,2024,636.390015,639,628.109985,628.409973,628.409973,2145700
05-04-2024,Friday,April,Q2,2024,624.919983,637.909973,622.710022,636.179993,636.179993,3372800
04-04-2024,Thursday,April,Q2,2024,633.210022,638,616.580017,617.140015,617.140015,3064300
03-04-2024,Wednesday,April,Q2,2024,612.75,630.409973,611.5,630.080017,630.080017,2931200
02-04-2024,Tuesday,April,Q2,2024,611,615.030029,605.51001,614.210022,614.210022,2029200
01-04-2024,Monday,April,Q2,2024,608,615.109985,605.570007,614.309998,614.309998,2115900
28-03-2024,Thursday,March,Q1,2024,614.98999,615,601.590027,607.330017,607.330017,3708800
27-03-2024,Wednesday,March,Q1,2024,629.01001,631.349976,610.72998,613.530029,613.530029,2628300
26-03-2024,Tuesday,March,Q1,2024,625.200012,634.390015,619.179993,629.23999,629.23999,2804500
25-03-2024,Monday,March,Q1,2024,627.900024,630.460022,623.159973,627.460022,627.460022,1803300
22-03-2024,Friday,March,Q1,2024,624.159973,629.049988,621,628.01001,628.01001,2134100
21-03-2024,Thursday,March,Q1,2024,630.650024,634.359985,622.330017,622.710022,622.710022,2507700
20-03-2024,Wednesday,March,Q1,2024,619.950012,629.51001,618.340027,627.690002,627.690002,2639500
19-03-2024,Tuesday,March,Q1,2024,615.619995,621.280029,608,620.73999,620.73999,2142600
18-03-2024,Monday,March,Q1,2024,613.559998,627.409973,610.450012,618.390015,618.390015,3344200
15-03-2024,Friday,March,Q1,2024,622.919983,622.919983,603.820007,605.880005,605.880005,6670900
14-03-2024,Thursday,March,Q1,2024,615,620.799988,607.349976,613.01001,613.01001,3120500
13-03-2024,Wednesday,March,Q1,2024,613.369995,614.849976,607.210022,609.450012,609.450012,2192100
12-03-2024,Tuesday,March,Q1,2024,600.210022,615.299988,596.27002,611.080017,611.080017,2821600
11-03-2024,Monday,March,Q1,2024,608.080017,611,600.369995,600.929993,600.929993,2500900
08-03-2024,Friday,March,Q1,2024,608.27002,616.090027,600.840027,604.820007,604.820007,2774600
07-03-2024,Thursday,March,Q1,2024,599.340027,610.530029,595.900024,608.51001,608.51001,2742800
06-03-2024,Wednesday,March,Q1,2024,602.98999,607.929993,593.559998,597.690002,597.690002,2469600
05-03-2024,Tuesday,March,Q1,2024,610.099976,610.909973,592,598.5,598.5,3849600
04-03-2024,Monday,March,Q1,2024,621.559998,624.419983,615.080017,615.830017,615.830017,3020300
01-03-2024,Friday,March,Q1,2024,599.809998,620.280029,599.5,619.340027,619.340027,4264200
29-02-2024,Thursday,February,Q1,2024,604.25,604.52002,595.159973,602.919983,602.919983,3572100
28-02-2024,Wednesday,February,Q1,2024,595.789978,598.169983,590.01001,596.47998,596.47998,2605200
